cycle,stability,adaptive_score,rigidity,dissent,identity_drift,light_king_power,shadow_queen_power,light_pool,shadow_pool,light_order,shadow_correction,bridge_tension,faction_balance,emergence,jester_pulse,judge_closure
190,1,0.83,0.337215,0.260964,-0.003535,0.51,0.51,0.490472,0.509164,0.506184,0.517618,0.005566,0.967984,0.985758,0.18,1
191,1,0.83,0.337282,0.262543,-0.004116,0.51,0.51,0.490688,0.509813,0.500189,0.500791,0.004871,0.998312,0.986562,0.18,1
192,1,0.83,0.337205,0.263856,-0.006384,0.51,0.51,0.49075,0.509937,0.51239,0.527616,0.006321,0.957367,0.98512,0.18,1
193,1,0.83,0.337232,0.264883,-0.001524,0.51,0.51,0.490836,0.510108,0.515953,0.510411,0.006212,0.984482,0.985396,0.18,1
194,1,0.83,0.337265,0.26291,0.001693,0.51,0.51,0.490733,0.510097,0.504072,0.508541,0.005968,0.987486,0.985763,0.0,1
195,1,0.83,0.337321,0.261713,0.005842,0.51,0.51,0.490936,0.509964,0.508749,0.507414,0.005319,0.996261,0.986642,0.0,1
196,1,0.83,0.337377,0.261622,0.008201,0.51,0.51,0.49098,0.51012,0.505376,0.505616,0.004608,0.999328,0.98755,0.0,1
197,1,0.83,0.337295,0.261898,0.007156,0.51,0.51,0.490642,0.509663,0.498319,0.51265,0.005969,0.959875,0.986062,0.0,1
198,1,0.83,0.337265,0.260319,0.006137,0.51,0.51,0.49078,0.509796,0.501607,0.512156,0.006611,0.970463,0.985376,0.0,1
199,1,0.83,0.337308,0.260432,0.004428,0.51,0.51,0.490617,0.509002,0.513225,0.516519,0.006146,0.990776,0.985918,0.0,1
200,1,0.83,0.337298,0.260821,0.005808,0.51,0.51,0.490518,0.508687,0.510933,0.502142,0.006517,0.975385,0.985273,0.0,1
201,1,0.83,0.337152,0.263003,0.004642,0.51,0.51,0.490553,0.508492,0.494661,0.519444,0.009074,0.930609,0.982048,0.0,1
202,1,0.83,0.337085,0.260424,0.002929,0.51,0.51,0.490524,0.508392,0.501719,0.522295,0.010684,0.942388,0.979727,0.0,1
203,1,0.83,0.337121,0.258099,0.005815,0.51,0.51,0.49061,0.508086,0.496885,0.508749,0.010849,0.96678,0.979003,0.0,1
204,1,0.83,0.337218,0.259592,0.005053,0.51,0.51,0.490673,0.508076,0.496662,0.502825,0.010193,0.982742,0.979107,0.0,1
205,1,0.83,0.33735,0.258279,0.004904,0.51,0.51,0.49045,0.508276,0.512745,0.511145,0.00899,0.995521,0.979902,0.0,1
206,1,0.83,0.337358,0.257617,0.001799,0.51,0.51,0.490064,0.508507,0.503471,0.517439,0.009687,0.960891,0.978807,0.0,1
207,1,0.83,0.337494,0.257676,0.006623,0.51,0.51,0.490472,0.50857,0.508531,0.50898,0.008394,0.998743,0.980232,0.0,1
208,1,0.83,0.337566,0.25504,0.003496,0.51,0.51,0.490382,0.508703,0.516835,0.511168,0.008012,0.984133,0.980541,0.0,1
209,1,0.83,0.337631,0.256598,0.006783,0.51,0.51,0.490572,0.508936,0.50026,0.505938,0.007685,0.9841,0.980906,0.18,1
210,1,0.83,0.337689,0.256533,0.00488,0.51,0.51,0.490537,0.508972,0.512073,0.506338,0.007412,0.983941,0.981244,0.18,1
211,1,0.83,0.337736,0.25886,0.006227,0.51,0.51,0.490862,0.509417,0.507541,0.501243,0.007256,0.982365,0.981486,0.18,1
212,1,0.83,0.33773,0.260296,0.007463,0.51,0.51,0.49034,0.509246,0.513179,0.501454,0.007882,0.967172,0.980883,0.18,1
213,1,0.83,0.337726,0.2604,0.00414,0.51,0.51,0.490329,0.509475,0.500275,0.51229,0.00846,0.966358,0.980435,0.0,1
214,1,0.83,0.337805,0.261884,0.008002,0.51,0.51,0.490463,0.509654,0.502477,0.505717,0.00773,0.990929,0.981532,0.0,1
215,1,0.83,0.337829,0.260206,0.006865,0.51,0.51,0.490402,0.509484,0.51081,0.518463,0.007719,0.978571,0.98183,0.0,1
216,1,0.83,0.337784,0.260171,0.007727,0.51,0.51,0.490413,0.509404,0.498542,0.513554,0.00874,0.957967,0.980878,0.0,1
217,1,0.83,0.337851,0.259746,0.00963,0.51,0.51,0.490125,0.509384,0.518611,0.522529,0.008065,0.989029,0.98176,0.0,1
218,1,0.83,0.337916,0.258688,0.010933,0.51,0.51,0.490169,0.509269,0.499549,0.502198,0.007307,0.992582,0.982863,0.0,1
219,1,0.83,0.337969,0.258643,0.008145,0.51,0.51,0.490164,0.508875,0.506764,0.504241,0.006637,0.992935,0.983813,0.0,1
220,1,0.83,0.337935,0.260438,0.006191,0.51,0.51,0.490617,0.508786,0.510354,0.499196,0.00727,0.968758,0.983131,0.0,1
221,1,0.83,0.33791,0.258979,0.003636,0.51,0.51,0.491067,0.508664,0.505287,0.49396,0.007838,0.968285,0.982274,0.0,1
222,1,0.83,0.337983,0.257744,0.004872,0.51,0.51,0.490678,0.508741,0.511689,0.513461,0.006989,0.995038,0.982801,0.0,1
223,1,0.83,0.338014,0.257439,0.006128,0.51,0.51,0.490686,0.50928,0.510877,0.51622,0.006758,0.98504,0.982891,0.0,1
224,1,0.83,0.337977,0.255608,0.007874,0.51,0.51,0.490725,0.509426,0.513951,0.501511,0.007554,0.965168,0.982049,0.0,1
225,1,0.83,0.337895,0.255446,0.005881,0.51,0.51,0.490646,0.509359,0.516187,0.497662,0.00909,0.948129,0.980361,0.0,1
226,1,0.83,0.337976,0.254512,0.005273,0.51,0.51,0.490227,0.509456,0.507444,0.510091,0.008188,0.992587,0.981386,0.0,1
227,1,0.83,0.338044,0.253238,0.004413,0.51,0.51,0.490324,0.509801,0.500201,0.498019,0.007347,0.993891,0.98259,0.0,1
228,1,0.83,0.338077,0.255137,0.007785,0.51,0.51,0.490297,0.510168,0.510517,0.514922,0.006935,0.987665,0.983417,0.18,1
229,1,0.83,0.338138,0.256282,0.011193,0.51,0.51,0.490036,0.51049,0.510501,0.510673,0.005988,0.999518,0.984862,0.18,1
230,1,0.83,0.338095,0.256238,0.012457,0.51,0.51,0.490074,0.510641,0.504144,0.514071,0.00654,0.972203,0.984577,0.18,1
231,1,0.83,0.338132,0.256217,0.015214,0.51,0.51,0.490113,0.510775,0.513003,0.514496,0.005833,0.995819,0.985594,0.18,1
232,1,0.83,0.338124,0.257008,0.016056,0.51,0.51,0.489924,0.510867,0.505992,0.511246,0.005752,0.985288,0.985839,0.0,1
233,1,0.83,0.338104,0.257541,0.015344,0.51,0.51,0.490019,0.510626,0.502861,0.509306,0.005849,0.981953,0.985847,0.0,1
234,1,0.83,0.338018,0.257016,0.018597,0.51,0.51,0.490136,0.510662,0.507615,0.493882,0.006953,0.961548,0.984807,0.0,1
235,1,0.83,0.337976,0.257495,0.016065,0.51,0.51,0.490513,0.510681,0.513318,0.502916,0.007436,0.970875,0.984343,0.0,1
236,1,0.83,0.337892,0.256284,0.015981,0.51,0.51,0.491051,0.510371,0.49397,0.510066,0.008648,0.954932,0.982856,0.0,1
237,1,0.83,0.337916,0.255981,0.012627,0.51,0.51,0.49112,0.510476,0.507734,0.513809,0.008288,0.982989,0.983029,0.0,1
238,1,0.83,0.337945,0.25594,0.01421,0.51,0.51,0.491317,0.510258,0.497248,0.491805,0.00789,0.98476,0.983217,0.0,1
239,1,0.83,0.337969,0.254355,0.012262,0.51,0.51,0.49137,0.510385,0.50859,0.502944,0.007576,0.984192,0.983362,0.0,1
240,1,0.83,0.337967,0.254304,0.011872,0.51,0.51,0.491528,0.51052,0.524702,0.516404,0.007677,0.976766,0.982996,0.0,1
